station_id	datetime_utc	sa	ra
1180000010	2013-01-23 14:10:00	35	0
1380000034	2013-01-23 14:10:00	23	-888
1140000010	2013-01-23 14:10:00	47	-888
1460000003	2013-01-23 14:10:00	28	0
1020000024	2013-01-23 14:10:00	27	-888
1180000022	2013-01-23 14:10:00	61	0
1070000021	2013-01-23 14:10:00	814	-888
1020000006	2013-01-23 14:10:00	16	0
1070000024	2013-01-23 14:10:00	-999	-888
1070000009	2013-01-23 14:10:00	16240	-888
1320000004	2013-01-23 14:10:00	28	0
1220000004	2013-01-23 14:10:00	44	0
1150000003	2013-01-23 14:10:00	39	0
1180000005	2013-01-23 14:10:00	69	0
1080000009	2013-01-23 14:10:00	87	-888
1410000001	2013-01-23 14:10:00	27	0
1140000007	2013-01-23 14:10:00	48	-888
1040000006	2013-01-23 14:10:00	-999	-999
1020000010	2013-01-23 14:10:00	16	0
1180000011	2013-01-23 14:10:00	39	0
1150000002	2013-01-23 14:10:00	38	0
1270000008	2013-01-23 14:10:00	33	-888
1150000004	2013-01-23 14:10:00	36	0
1020000003	2013-01-23 14:10:00	17	0
1460000002	2013-01-23 14:10:00	34	0
1320000023	2013-01-23 14:10:00	38	-888
1080000017	2013-01-23 14:10:00	60	-888
1140000013	2013-01-23 14:10:00	44	-888
1140000005	2013-01-23 14:10:00	50	-888
1020000012	2013-01-23 14:10:00	19	0
1180000025	2013-01-23 14:10:00	26	0
1220000016	2013-01-23 14:10:00	41	0
1080000001	2013-01-23 14:10:00	77	-888
1080000019	2013-01-23 14:10:00	86	-888
1020000022	2013-01-23 14:10:00	14	-888
1220000005	2013-01-23 14:10:00	38	0
1080000014	2013-01-23 14:10:00	66	-888
1080000005	2013-01-23 14:10:00	63	0
1320000024	2013-01-23 14:10:00	44	-888
1460000005	2013-01-23 14:10:00	33	0
1220000007	2013-01-23 14:10:00	45	0
1320000007	2013-01-23 14:10:00	30	-888
1320000003	2013-01-23 14:10:00	40	0
1270000015	2013-01-23 14:10:00	52	-888
1220000015	2013-01-23 14:10:00	37	0
1150000007	2013-01-23 14:10:00	37	0
1270000001	2013-01-23 14:10:00	43	0
1010000005	2013-01-23 14:10:00	17	0
1270000014	2013-01-23 14:10:00	49	-888
1010000004	2013-01-23 14:10:00	20	0
1170000010	2013-01-23 14:10:00	43	0
1070000005	2013-01-23 14:10:00	2842	0
1140000002	2013-01-23 14:10:00	55	-888
1220000017	2013-01-23 14:10:00	39	0
1140000009	2013-01-23 14:10:00	47	-888
1260000005	2013-01-23 14:10:00	37	0
1080000021	2013-01-23 14:10:00	75	-888
1170000007	2013-01-23 14:10:00	55	0
1380000033	2013-01-23 14:10:00	12	-888
1220000013	2013-01-23 14:10:00	38	0
1020000001	2013-01-23 14:10:00	13	0
1070000008	2013-01-23 14:10:00	-999	-888
1080000032	2013-01-23 14:10:00	49	-888
1010000009	2013-01-23 14:10:00	14	0
1020000011	2013-01-23 14:10:00	15	0
1380000001	2013-01-23 14:10:00	17	0
1170000008	2013-01-23 14:10:00	47	0
1410000003	2013-01-23 14:10:00	30	-888
1080000025	2013-01-23 14:10:00	56	-888
1140000006	2013-01-23 14:10:00	45	1
1040000002	2013-01-23 14:10:00	33	0
1140000004	2013-01-23 14:10:00	53	-888
1080000016	2013-01-23 14:10:00	88	-888
1070000020	2013-01-23 14:10:00	221	-888
1320000002	2013-01-23 14:10:00	40	0
1320000006	2013-01-23 14:10:00	36	-888
1330000002	2013-01-23 14:10:00	27	0
1070000010	2013-01-23 14:10:00	1036	-888
1180000003	2013-01-23 14:10:00	66	0
1150000001	2013-01-23 14:10:00	42	0
1150000005	2013-01-23 14:10:00	37	0
1220000014	2013-01-23 14:10:00	38	0
1020000005	2013-01-23 14:10:00	17	0
1080000002	2013-01-23 14:10:00	75	-888
1180000004	2013-01-23 14:10:00	58	0
1070000018	2013-01-23 14:10:00	4199	-888
1150000011	2013-01-23 14:10:00	29	0
